"Date","Description","Debits ($)","Credits ($)","Balance ($)"

"Feb 1, 2016","Starting Balance","","","$320.07"
"Feb 2, 2016","Automatic payment: Visa  • • • 0320","","($320.07)",""
"Feb 1, 2016 - Feb 19, 2016","Cloud SQL Disk Usage: 0.6 Gibibyte-months (Source:TRAC)","$0.15","","$0.15"
"Feb 1, 2016 - Feb 19, 2016","Cloud SQL Read and write count: 111606 Counts (Source:TRAC)","$0.01","","$0.16"
"Feb 1, 2016 - Feb 19, 2016","Cloud SQL D8 usage - hour: 306 Hours (Source:TRAC)","$177.48","","$177.64"
"Feb 1, 2016 - Feb 19, 2016","Cloud SQL IP address idling - hour: 126 Hours (Source:TRAC)","$1.26","","$178.90"
"","""Totals for Feb 1, 2016 - Feb 21, 2016""","$178.90","($320.07)","$178.90"

"Jan 1, 2016","Starting Balance","","","$291.19"
"Jan 3, 2016","Automatic payment: Visa  • • • 0320","","($291.19)",""
"Jan 1, 2016 - Jan 31, 2016","Cloud Storage Storage: 0.281 Gibibyte-months (Source:TRAC)","$0.01","","$0.01"
"Jan 1, 2016 - Jan 31, 2016","Cloud SQL Disk Usage: 1.033 Gibibyte-months (Source:TRAC)","$0.24","","$0.25"
"Jan 1, 2016 - Jan 31, 2016","Cloud SQL Read and write count: 189471 Counts (Source:TRAC)","$0.02","","$0.27"
"Jan 1, 2016 - Jan 31, 2016","Cloud SQL D8 usage - hour: 548 Hours (Source:TRAC)","$317.84","","$318.11"
"Jan 1, 2016 - Jan 31, 2016","Cloud SQL IP address idling - hour: 196 Hours (Source:TRAC)","$1.96","","$320.07"
"","""Totals for Jan 1, 2016 - Jan 31, 2016""","$320.07","($291.19)","$320.07"

"Dec 1, 2015","Starting Balance","","","$124.32"
"Dec 2, 2015","Automatic payment: Visa  • • • 0320","","($124.32)",""
"Dec 1, 2015 - Dec 30, 2015","Cloud SQL External Traffic: 0.106 Gibibytes (Source:TRAC)","$0.01","","$0.01"
"Dec 1, 2015 - Dec 31, 2015","Cloud Storage Storage: 0.278 Gibibyte-months (Source:TRAC)","$0.01","","$0.02"
"Dec 1, 2015 - Dec 31, 2015","Cloud SQL Disk Usage: 1.033 Gibibyte-months (Source:TRAC)","$0.24","","$0.26"
"Dec 1, 2015 - Dec 31, 2015","Cloud SQL Read and write count: 128453 Counts (Source:TRAC)","$0.01","","$0.27"
"Dec 1, 2015 - Dec 31, 2015","App Engine Frontend Instances: 3.861 Hours (Source:TRAC)","$0.19","","$0.46"
"Dec 1, 2015 - Dec 31, 2015","Cloud SQL D8 usage - hour: 497 Hours (Source:TRAC)","$288.26","","$288.72"
"Dec 1, 2015 - Dec 31, 2015","Cloud SQL IP address idling - hour: 247 Hours (Source:TRAC)","$2.47","","$291.19"
"","""Totals for Dec 1, 2015 - Dec 31, 2015""","$291.19","($124.32)","$291.19"

"Nov 1, 2015","Starting Balance","","","$158.75"
"Nov 3, 2015","Automatic payment: Visa  • • • 0320","","($158.75)",""
"Nov 1, 2015 - Nov 30, 2015","Cloud Storage Storage: 0.264 Gibibyte-months (Source:TRAC)","$0.01","","$0.01"
"Nov 1, 2015 - Nov 30, 2015","Cloud SQL Disk Usage: 1.001 Gibibyte-months (Source:TRAC)","$0.24","","$0.25"
"Nov 1, 2015 - Nov 30, 2015","Cloud SQL Read and write count: 70419 Counts (Source:TRAC)","$0.01","","$0.26"
"Nov 1, 2015 - Nov 30, 2015","Cloud SQL D8 usage - hour: 205 Hours (Source:TRAC)","$118.90","","$119.16"
"Nov 1, 2015 - Nov 30, 2015","Cloud SQL IP address idling - hour: 516 Hours (Source:TRAC)","$5.16","","$124.32"
"","""Totals for Nov 1, 2015 - Nov 30, 2015""","$124.32","($158.75)","$124.32"

"Oct 1, 2015","Starting Balance","","","$132.86"
"Oct 3, 2015","Automatic payment: Visa  • • • 0320","","($132.86)",""
"Oct 1, 2015 - Oct 31, 2015","Cloud Storage Storage: 0.272 Gibibyte-months (Source:TRAC)","$0.01","","$0.01"
"Oct 1, 2015 - Oct 31, 2015","Cloud SQL Disk Usage: 1.033 Gibibyte-months (Source:TRAC)","$0.24","","$0.25"
"Oct 1, 2015 - Oct 31, 2015","Cloud SQL Read and write count: 95087 Counts (Source:TRAC)","$0.01","","$0.26"
"Oct 1, 2015 - Oct 31, 2015","Cloud SQL D8 usage - hour: 265 Hours (Source:TRAC)","$153.70","","$153.96"
"Oct 1, 2015 - Oct 31, 2015","Cloud SQL IP address idling - hour: 479 Hours (Source:TRAC)","$4.79","","$158.75"
"","""Totals for Oct 1, 2015 - Oct 31, 2015""","$158.75","($132.86)","$158.75"

"Sep 1, 2015","Starting Balance","","","$175.86"
"Sep 4, 2015","Automatic payment: Visa  • • • 0320","","($175.86)",""
"Sep 1, 2015 - Sep 30, 2015","Cloud Storage Storage: 0.263 Gibibyte-months (Source:TRAC)","$0.01","","$0.01"
"Sep 1, 2015 - Sep 30, 2015","Cloud SQL Disk Usage: 1 Gibibyte-month (Source:TRAC)","$0.24","","$0.25"
"Sep 1, 2015 - Sep 30, 2015","Cloud SQL Read and write count: 96662 Counts (Source:TRAC)","$0.01","","$0.26"
"Sep 1, 2015 - Sep 30, 2015","Cloud SQL D8 usage - hour: 220 Hours (Source:TRAC)","$127.60","","$127.86"
"Sep 1, 2015 - Sep 30, 2015","Cloud SQL IP address idling - hour: 500 Hours (Source:TRAC)","$5.00","","$132.86"
"","""Totals for Sep 1, 2015 - Sep 30, 2015""","$132.86","($175.86)","$132.86"

"Aug 1, 2015","Starting Balance","","","$179.33"
"Aug 2, 2015","Automatic payment: Visa  • • • 0320","","($179.33)",""
"Aug 1, 2015 - Aug 31, 2015","Cloud Storage Storage: 0.272 Gibibyte-months (Source:TRAC)","$0.01","","$0.01"
"Aug 1, 2015 - Aug 31, 2015","Cloud SQL Disk Usage: 1.033 Gibibyte-months (Source:TRAC)","$0.24","","$0.25"
"Aug 1, 2015 - Aug 31, 2015","Cloud SQL Read and write count: 119819 Counts (Source:TRAC)","$0.01","","$0.26"
"Aug 1, 2015 - Aug 31, 2015","Cloud SQL D8 usage - hour: 295 Hours (Source:TRAC)","$171.10","","$171.36"
"Aug 1, 2015 - Aug 31, 2015","Cloud SQL IP address idling - hour: 449 Hours (Source:TRAC)","$4.49","","$175.85"
"Aug 1, 2015 - Aug 31, 2015","Cloud SQL External Traffic: 0.061 Gibibytes (Source:TRAC)","$0.01","","$175.86"
"","""Totals for Aug 1, 2015 - Aug 31, 2015""","$175.86","($179.33)","$175.86"

"Jul 1, 2015","Starting Balance","","","$153.31"
"Jul 2, 2015","Automatic payment: Visa  • • • 0320","","($153.31)",""
"Jul 1, 2015 - Jul 31, 2015","Cloud Storage Storage: 0.272 Gibibyte-months (Source:TRAC)","$0.01","","$0.01"
"Jul 1, 2015 - Jul 31, 2015","Cloud SQL Disk Usage: 1.033 Gibibyte-months (Source:TRAC)","$0.24","","$0.25"
"Jul 1, 2015 - Jul 31, 2015","Cloud SQL Read and write count: 105582 Counts (Source:TRAC)","$0.01","","$0.26"
"Jul 1, 2015 - Jul 31, 2015","App Engine Frontend Instances: 1.249 Hours (Source:TRAC)","$0.06","","$0.32"
"Jul 1, 2015 - Jul 31, 2015","Cloud SQL D8 usage - hour: 301 Hours (Source:TRAC)","$174.58","","$174.90"
"Jul 1, 2015 - Jul 31, 2015","Cloud SQL IP address idling - hour: 443 Hours (Source:TRAC)","$4.43","","$179.33"
"","""Totals for Jul 1, 2015 - Jul 31, 2015""","$179.33","($153.31)","$179.33"

"Jun 1, 2015","Starting Balance","","","$163.39"
"Jun 2, 2015","Automatic payment: Visa  • • • 0320","","($163.39)",""
"Jun 1, 2015 - Jun 30, 2015","Cloud Storage Storage: 0.263 Gibibyte-months (Source:TRAC)","$0.01","","$0.01"
"Jun 1, 2015 - Jun 30, 2015","Cloud SQL Disk Usage: 1 Gibibyte-month (Source:TRAC)","$0.24","","$0.25"
"Jun 1, 2015 - Jun 30, 2015","Cloud SQL Read and write count: 69667 Counts (Source:TRAC)","$0.01","","$0.26"
"Jun 1, 2015 - Jun 30, 2015","App Engine Frontend Instances: 9.9 Hours (Source:TRAC)","$0.50","","$0.76"
"Jun 1, 2015 - Jun 30, 2015","Cloud SQL D8 usage - hour: 255 Hours (Source:TRAC)","$147.90","","$148.66"
"Jun 1, 2015 - Jun 30, 2015","Cloud SQL IP address idling - hour: 465 Hours (Source:TRAC)","$4.65","","$153.31"
"","""Totals for Jun 1, 2015 - Jun 30, 2015""","$153.31","($163.39)","$153.31"

"May 1, 2015","Starting Balance","","","$120.32"
"May 2, 2015","Automatic payment: Visa  • • • 0320","","($120.32)",""
"May 1, 2015 - May 30, 2015","Cloud Storage Storage: 189.221 Gibibyte-hours (Source:TRAC)","$0.01","","$0.01"
"May 1, 2015 - May 31, 2015","Cloud SQL Disk Usage: 31 Gibibyte-days (Source:TRAC)","$0.24","","$0.25"
"May 1, 2015 - May 31, 2015","Cloud SQL Read and write count: 96554 Counts (Source:TRAC)","$0.01","","$0.26"
"May 1, 2015 - May 31, 2015","App Engine Frontend Instances: 776.728 Minutes (Source:TRAC)","$0.65","","$0.91"
"May 1, 2015 - May 31, 2015","Cloud SQL D8 usage - hour: 272 Hours (Source:TRAC)","$157.76","","$158.67"
"May 1, 2015 - May 31, 2015","Cloud SQL IP address idling - hour: 472 Hours (Source:TRAC)","$4.72","","$163.39"
"","""Totals for May 1, 2015 - May 31, 2015""","$163.39","($120.32)","$163.39"

"Apr 1, 2015","Starting Balance","","","$163.65"
"Apr 2, 2015","Automatic payment: Visa  • • • 0320","","($163.65)",""
"Apr 1, 2015 - Apr 30, 2015","Cloud Storage Storage: 189.091 Gibibyte-hours (Source:TRAC)","$0.01","","$0.01"
"Apr 1, 2015 - Apr 30, 2015","Cloud SQL Disk Usage: 1 Gibibyte-month (Source:TRAC)","$0.24","","$0.25"
"Apr 1, 2015 - Apr 30, 2015","Cloud SQL Read and write count: 57056 Counts (Source:TRAC)","$0.01","","$0.26"
"Apr 1, 2015 - Apr 30, 2015","Cloud SQL D8 usage - hour: 198 Hours (Source:TRAC)","$114.84","","$115.10"
"Apr 1, 2015 - Apr 30, 2015","Cloud SQL IP address idling - hour: 522 Hours (Source:TRAC)","$5.22","","$120.32"
"","""Totals for Apr 1, 2015 - Apr 30, 2015""","$120.32","($163.65)","$120.32"

"Mar 1, 2015","Starting Balance","","","$149.47"
"Mar 2, 2015","Automatic payment: Visa  • • • 0320","","($149.47)",""
"Mar 1, 2015 - Mar 31, 2015","Cloud Storage Storage: 193.829 Gibibyte-hours (Source:TRAC)","$0.01","","$0.01"
"Mar 1, 2015 - Mar 31, 2015","Cloud SQL Disk Usage: 743 Gibibyte-hours (Source:TRAC)","$0.24","","$0.25"
"Mar 1, 2015 - Mar 31, 2015","Cloud SQL Read and write count: 76425 Counts (Source:TRAC)","$0.01","","$0.26"
"Mar 1, 2015 - Mar 31, 2015","App Engine Frontend Instances: 1089.791 Minutes (Source:TRAC)","$0.91","","$1.17"
"Mar 1, 2015 - Mar 31, 2015","Compute Engine Standard Intel N1 1 VCPU running in EMEA: 10 Minutes (Source:TRAC)","$0.01","","$1.18"
"Mar 1, 2015 - Mar 31, 2015","Cloud SQL D8 usage - hour: 272 Hours (Source:TRAC)","$157.76","","$158.94"
"Mar 1, 2015 - Mar 31, 2015","Cloud SQL IP address idling - hour: 471 Hours (Source:TRAC)","$4.71","","$163.65"
"","""Totals for Mar 1, 2015 - Mar 31, 2015""","$163.65","($149.47)","$163.65"

"Feb 1, 2015","Starting Balance","","","$48.65"
"Feb 2, 2015","Automatic payment: Visa  • • • 0320","","($48.65)",""
"Feb 1, 2015 - Feb 17, 2015","App Engine Overcharge Credit: 31 Currency units (Source:TRAC)","","($0.31)","($0.31)"
"Feb 1, 2015 - Feb 27, 2015","Cloud SQL Read and write count: 79390 Counts (Source:TRAC)","$0.01","","($0.30)"
"Feb 1, 2015 - Feb 27, 2015","App Engine Frontend Instances: 360.002 Minutes (Source:TRAC)","$0.30","",""
"Feb 1, 2015 - Feb 27, 2015","Cloud SQL D8 usage - hour: 250 Hours (Source:TRAC)","$145.00","","$145.00"
"Feb 1, 2015 - Feb 28, 2015","Cloud Storage Storage: 171.187 Gibibyte-hours (Source:TRAC)","$0.01","","$145.01"
"Feb 1, 2015 - Feb 28, 2015","Cloud SQL Disk Usage: 28 Gibibyte-days (Source:TRAC)","$0.24","","$145.25"
"Feb 1, 2015 - Feb 28, 2015","Cloud SQL IP address idling - hour: 422 Hours (Source:TRAC)","$4.22","","$149.47"
"","""Totals for Feb 1, 2015 - Feb 28, 2015""","$149.78","($48.96)","$149.47"

"Jan 1, 2015","Starting Balance","","","$0.01"
"Jan 2, 2015","Automatic payment: Visa  • • • 0320","","($0.01)",""
"Jan 1, 2015 - Jan 31, 2015","Cloud SQL Disk Usage: 31 Gibibyte-days [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00-credit-allocation-correction Credit: OPS_ERROR ] (Source:TRAC)","","($0.05)","($0.05)"
"Jan 1, 2015 - Jan 31, 2015","Cloud SQL Disk Usage: 31 Gibibyte-days (Source:TRAC)","$0.13","","$0.08"
"Jan 1, 2015 - Jan 31, 2015","Cloud SQL D8 usage - hour: 159 Hours [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00-credit-allocation-correction Credit: OPS_ERROR ] (Source:TRAC)","","($30.40)","($30.32)"
"Jan 1, 2015 - Jan 31, 2015","Cloud SQL D8 usage - hour: 159 Hours (Source:TRAC)","$77.38","","$47.06"
"Jan 1, 2015 - Jan 31, 2015","Cloud SQL IP address idling - hour: 585 Hours [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00-credit-allocation-correction Credit: OPS_ERROR ] (Source:TRAC)","","($0.99)","$46.07"
"Jan 1, 2015 - Jan 31, 2015","Cloud SQL IP address idling - hour: 585 Hours (Source:TRAC)","$2.58","","$48.65"
"","""Totals for Jan 1, 2015 - Jan 31, 2015""","$80.09","($31.45)","$48.65"

"Dec 1, 2014","Starting Balance","","","$0.00"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL Disk Usage: 31 Gibibyte-days [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00-credit-allocation-correction Credit: OPS_ERROR ] (Source:TRAC)","","($0.10)","($0.10)"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL Disk Usage: 31 Gibibyte-days [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00 Credit: PROMOTION ] (Source:TRAC)","","($0.14)","($0.24)"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL Disk Usage: 31 Gibibyte-days (Source:TRAC)","$0.24","",""
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL Read and write count: 80609 Counts (Source:TRAC)","$0.01","","$0.01"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL D8 usage - hour: 268 Hours [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00-credit-allocation-correction Credit: OPS_ERROR ] (Source:TRAC)","","($55.10)","($55.09)"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL D8 usage - hour: 268 Hours [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00 Credit: PROMOTION ] (Source:TRAC)","","($100.34)","($155.43)"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL D8 usage - hour: 268 Hours (Source:TRAC)","$155.44","","$0.01"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL IP address idling - hour: 476 Hours [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00-credit-allocation-correction Credit: OPS_ERROR ] (Source:TRAC)","","($2.35)","($2.34)"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL IP address idling - hour: 476 Hours [ CreditId: 001B3E-E4F8F2-7F44E3::FreeTrial:2014-11-13T00:00:00.000-08:00 Credit: PROMOTION ] (Source:TRAC)","","($2.41)","($4.75)"
"Dec 1, 2014 - Dec 31, 2014","Cloud SQL IP address idling - hour: 476 Hours (Source:TRAC)","$4.76","","$0.01"
"","""Totals for Dec 1, 2014 - Dec 31, 2014""","$160.45","($160.44)","$0.01"

"Nov 13, 2014","Starting Balance","","","$0.00"
"","""Totals for Nov 13, 2014 - Nov 30, 2014""","$0.00","$0.00","$0.00"

